yearID,Rank,G,W,L,LgWin,WSWin,R,AB,H,BB,SB,ER,ERA,HA,E,DP,name,attendance,BPF,PPF
2004,5,162,67,95,N,N,635,5474,1361,496,109.0,696,4.33,1477,99,172.0,Montreal Expos,749550.0,105,105
2004,1,162,101,61,N,N,897,5527,1483,670,84.0,752,4.69,1532,99,148.0,New York Yankees,3775292.0,98,97
2004,4,162,71,91,N,N,684,5532,1376,512,107.0,658,4.09,1452,137,144.0,New York Mets,2318951.0,99,99
2004,2,162,91,71,N,N,793,5728,1545,608,47.0,682,4.17,1466,91,172.0,Oakland Athletics,2201516.0,99,98
2004,2,162,86,76,N,N,840,5643,1505,645,100.0,724,4.45,1488,81,142.0,Philadelphia Phillies,3250092.0,105,104
2004,5,161,72,89,N,N,680,5483,1428,415,63.0,680,4.29,1451,103,189.0,Pittsburgh Pirates,1580031.0,99,100
2004,3,162,87,75,N,N,768,5573,1521,566,52.0,645,4.03,1460,108,146.0,San Diego Padres,3016752.0,90,90
2004,4,162,63,99,N,N,698,5722,1544,492,110.0,772,4.76,1498,103,140.0,Seattle Mariners,2940731.0,97,98
2004,2,162,91,71,N,N,850,5546,1500,705,43.0,695,4.29,1481,101,153.0,San Francisco Giants,3256854.0,101,101
2004,1,162,105,57,Y,N,855,5555,1544,548,111.0,605,3.75,1378,97,154.0,St. Louis Cardinals,3048427.0,100,99
2004,4,161,70,91,N,N,714,5483,1416,469,132.0,757,4.81,1459,119,139.0,Tampa Bay Devil Rays,1274911.0,96,98
2004,3,162,89,73,N,N,860,5615,1492,500,69.0,724,4.53,1536,117,152.0,Texas Rangers,2513685.0,108,109
2004,5,161,67,94,N,N,719,5531,1438,513,58.0,775,4.91,1505,91,150.0,Toronto Blue Jays,1900041.0,104,104
2005,2,162,77,85,N,N,696,5550,1419,606,67.0,783,4.84,1580,94,159.0,Arizona Diamondbacks,2059424.0,103,105
2005,1,162,90,72,N,N,769,5486,1453,534,92.0,639,3.98,1487,86,170.0,Atlanta Braves,2521167.0,101,100
2005,4,162,74,88,N,N,729,5551,1492,447,83.0,724,4.56,1458,107,154.0,Baltimore Orioles,2624740.0,99,99
2005,2,162,95,67,N,N,910,5626,1579,653,45.0,752,4.74,1550,109,135.0,Boston Red Sox,2847888.0,104,104
2005,1,162,99,63,Y,Y,741,5529,1450,435,137.0,592,3.61,1392,94,166.0,Chicago White Sox,2342833.0,103,103
2005,4,162,79,83,N,N,703,5584,1506,419,65.0,671,4.19,1357,101,136.0,Chicago Cubs,3099992.0,104,104
2005,5,163,73,89,N,N,820,5565,1453,611,72.0,820,5.15,1657,104,133.0,Cincinnati Reds,1943067.0,100,101
2005,2,162,93,69,N,N,790,5609,1522,503,62.0,582,3.61,1363,106,156.0,Cleveland Indians,2013763.0,96,96
2005,5,162,67,95,N,N,740,5542,1477,509,65.0,808,5.13,1600,118,158.0,Colorado Rockies,1914389.0,112,113
2005,4,162,71,91,N,N,723,5602,1521,384,66.0,719,4.51,1504,110,171.0,Detroit Tigers,2024431.0,98,98
2005,3,162,83,79,N,N,717,5502,1499,512,96.0,666,4.16,1459,103,177.0,Florida Marlins,1852608.0,94,94
2005,2,163,89,73,Y,N,693,5462,1400,481,115.0,563,3.51,1336,89,146.0,Houston Astros,2804760.0,101,100
2005,5,162,56,106,N,N,701,5503,1445,424,53.0,862,5.49,1640,125,163.0,Kansas City Royals,1371181.0,99,101
2005,1,162,95,67,N,N,761,5624,1520,447,161.0,598,3.68,1419,87,139.0,Los Angeles Angels of Anaheim,3404686.0,98,97
2005,4,162,71,91,N,N,685,5433,1374,541,58.0,695,4.38,1434,106,141.0,Los Angeles Dodgers,3603646.0,98,97
2005,3,162,81,81,N,N,726,5448,1413,531,79.0,635,3.97,1382,119,139.0,Milwaukee Brewers,2211023.0,101,101
2005,3,162,83,79,N,N,688,5564,1441,485,102.0,604,3.71,1458,102,171.0,Minnesota Twins,2034243.0,102,102
2005,1,162,95,67,N,N,886,5624,1552,637,84.0,718,4.52,1495,95,151.0,New York Yankees,4090696.0,98,97
2005,3,162,83,79,N,N,722,5505,1421,486,153.0,599,3.76,1390,106,146.0,New York Mets,2829929.0,98,97
2005,2,162,88,74,N,N,772,5627,1476,537,31.0,594,3.69,1315,88,166.0,Oakland Athletics,2109118.0,101,100
2005,2,162,88,74,N,N,807,5542,1494,639,116.0,672,4.21,1379,90,132.0,Philadelphia Phillies,2665304.0,105,104
2005,6,162,67,95,N,N,680,5573,1445,471,73.0,706,4.42,1456,117,193.0,Pittsburgh Pirates,1817245.0,99,100
2005,1,162,82,80,N,N,684,5502,1416,600,99.0,668,4.13,1452,109,136.0,San Diego Padres,2869787.0,92,91
2005,4,162,69,93,N,N,699,5507,1408,466,102.0,712,4.49,1483,86,144.0,Seattle Mariners,2725459.0,95,96
2005,3,162,75,87,N,N,649,5462,1427,431,71.0,695,4.33,1456,90,146.0,San Francisco Giants,3181023.0,101,101
2005,1,162,100,62,N,N,805,5538,1494,534,83.0,560,3.49,1399,100,196.0,St. Louis Cardinals,3538988.0,101,100
2005,5,162,67,95,N,N,750,5552,1519,412,151.0,851,5.39,1570,124,139.0,Tampa Bay Devil Rays,1141669.0,99,100
2005,3,162,79,83,N,N,865,5716,1528,495,67.0,794,4.96,1589,108,149.0,Texas Rangers,2525221.0,106,106
2005,3,162,80,82,N,N,775,5581,1480,486,72.0,653,4.06,1475,95,154.0,Toronto Blue Jays,2014995.0,102,102
2005,5,162,81,81,N,N,639,5426,1367,491,45.0,627,3.87,1456,92,156.0,Washington Nationals,2731993.0,95,96
2006,4,162,76,86,N,N,773,5645,1506,504,76.0,727,4.48,1503,104,172.0,Arizona Diamondbacks,2091685.0,105,105
2006,3,162,79,83,N,N,849,5583,1510,526,52.0,736,4.6,1529,99,146.0,Atlanta Braves,2550524.0,100,99
2006,4,162,70,92,N,N,768,5610,1556,474,121.0,843,5.35,1579,102,156.0,Baltimore Orioles,2153139.0,99,100
2006,3,162,86,76,N,N,820,5619,1510,672,51.0,773,4.83,1570,66,174.0,Boston Red Sox,2930588.0,105,104
2006,3,162,90,72,N,N,868,5657,1586,502,93.0,743,4.61,1534,90,145.0,Chicago White Sox,2957414.0,104,104
2006,6,162,66,96,N,N,716,5587,1496,395,121.0,758,4.74,1396,106,122.0,Chicago Cubs,3123215.0,103,103
2006,3,162,80,82,N,N,749,5515,1419,614,124.0,725,4.51,1576,128,139.0,Cincinnati Reds,2134607.0,104,104
2006,4,162,78,84,N,N,870,5619,1576,556,55.0,698,4.41,1583,118,165.0,Cleveland Indians,1997995.0,99,98
2006,4,162,76,86,N,N,813,5562,1504,561,85.0,749,4.66,1549,91,190.0,Colorado Rockies,2104362.0,109,109
2006,2,162,95,67,Y,N,822,5642,1548,430,60.0,618,3.84,1420,106,162.0,Detroit Tigers,2595937.0,100,100
2006,4,162,78,84,N,N,758,5502,1454,497,110.0,696,4.37,1465,126,166.0,Florida Marlins,1164134.0,95,96
2006,2,162,82,80,N,N,735,5521,1407,585,79.0,666,4.08,1425,80,164.0,Houston Astros,3022763.0,100,99
